Season,Tm,avg(age)
2003-04,TOT,28.0294117647059
2003-04,UTA,25.9444444444444
2003-04,WAS,26.1176470588235
2004-05,ATL,28.0
2004-05,BOS,26.2
2004-05,CHA,25.4736842105263
2004-05,CHI,26.0666666666667
2004-05,CLE,26.3125
2004-05,DAL,27.4375
2004-05,DEN,27.1176470588235
2004-05,DET,28.3529411764706
2004-05,GSW,26.3888888888889
2004-05,HOU,29.7391304347826
2004-05,IND,27.5
2004-05,LAC,26.5555555555556
2004-05,LAL,26.0625
2004-05,MEM,25.6666666666667
2004-05,MIA,28.1764705882353
2004-05,MIL,28.0
2004-05,MIN,28.8571428571429
2004-05,NJN,28.4545454545455
2004-05,NOH,26.5454545454545
2004-05,NYK,27.5263157894737
2004-05,ORL,27.1111111111111
2004-05,PHI,27.0588235294118
2004-05,PHO,25.3333333333333
2004-05,POR,25.7058823529412
2004-05,SAC,27.3888888888889
2004-05,SAS,28.4117647058824
2004-05,SEA,26.0
2004-05,TOR,27.125
2004-05,TOT,28.6271186440678
2004-05,UTA,25.7647058823529
2004-05,WAS,25.5
2005-06,ATL,24.1333333333333
2005-06,BOS,24.9444444444444
2005-06,CHA,25.0625
2005-06,CHI,25.5789473684211
2005-06,CLE,26.5882352941176
2005-06,DAL,27.3125
2005-06,DEN,27.7368421052632
2005-06,DET,27.4705882352941
2005-06,GSW,24.6
2005-06,HOU,28.0952380952381
2005-06,IND,27.25
2005-06,LAC,27.2222222222222
2005-06,LAL,25.3529411764706
2005-06,MEM,27.375
2005-06,MIA,27.5882352941176
2005-06,MIL,27.1333333333333
2005-06,MIN,26.2777777777778
2005-06,NJN,27.9411764705882
2005-06,NOK,26.0526315789474
2005-06,NYK,26.5789473684211
2005-06,ORL,26.6666666666667
2005-06,PHI,25.8235294117647
2005-06,PHO,26.9444444444444
2005-06,POR,25.0588235294118
2005-06,SAC,26.625
2005-06,SAS,29.4
2005-06,SEA,26.1052631578947
2005-06,TOR,27.8235294117647
2005-06,TOT,27.6078431372549
2005-06,UTA,25.1333333333333
2005-06,WAS,26.5333333333333
2006-07,ATL,24.6315789473684
2006-07,BOS,24.75
2006-07,CHA,26.9444444444444
2006-07,CHI,26.0
2006-07,CLE,27.4666666666667
2006-07,DAL,28.3125
2006-07,DEN,26.7222222222222
2006-07,DET,28.3333333333333
2006-07,GSW,24.9
2006-07,HOU,27.4666666666667
2006-07,IND,26.6315789473684
2006-07,LAC,26.8947368421053
2006-07,LAL,25.7142857142857
2006-07,MEM,26.3333333333333
2006-07,MIA,28.375
2006-07,MIL,25.0
2006-07,MIN,26.7142857142857
2006-07,NJN,26.6666666666667
2006-07,NOK,25.8666666666667
2006-07,NYK,25.8
2006-07,ORL,26.0
2006-07,PHI,26.3888888888889
2006-07,PHO,29.1428571428571
2006-07,POR,24.7058823529412
2006-07,SAC,27.2
2006-07,SAS,29.4375
2006-07,SEA,25.875
2006-07,TOR,25.8235294117647
2006-07,TOT,27.7241379310345
2006-07,UTA,25.0
2006-07,WAS,26.25
2007-08,ATL,25.125
2007-08,BOS,28.4666666666667
2007-08,CHA,27.4666666666667
2007-08,CHI,25.3684210526316
2007-08,CLE,27.7391304347826
2007-08,DAL,28.2
2007-08,DEN,27.0588235294118
2007-08,DET,27.8947368421053
2007-08,GSW,25.5
2007-08,HOU,27.4285714285714
2007-08,IND,26.25
2007-08,LAC,27.7
2007-08,LAL,26.0526315789474
2007-08,MEM,25.1578947368421
2007-08,MIA,27.2272727272727
2007-08,MIL,26.5
2007-08,MIN,26.125
2007-08,NJN,27.4
2007-08,NOH,27.6875
2007-08,NYK,25.9333333333333
2007-08,ORL,26.9375
2007-08,PHI,25.9333333333333
2007-08,PHO,29.125
2007-08,POR,23.8571428571429
2007-08,SAC,27.0
2007-08,SAS,29.1428571428571
2007-08,SEA,27.0
2007-08,TOR,27.3529411764706
2007-08,TOT,27.8382352941176
2007-08,UTA,25.2666666666667
2007-08,WAS,26.2307692307692
2008-09,ATL,25.1333333333333
2008-09,BOS,26.8125
2008-09,CHA,25.9166666666667
2008-09,CHI,26.5789473684211
2008-09,CLE,26.75
2008-09,DAL,27.75
2008-09,DEN,28.0
2008-09,DET,27.4
2008-09,GSW,24.2941176470588
2008-09,HOU,28.1764705882353
2008-09,IND,26.7142857142857
2008-09,LAC,26.8947368421053
2008-09,LAL,26.25
2008-09,MEM,24.8
2008-09,MIA,26.2777777777778
2008-09,MIL,27.8235294117647
2008-09,MIN,26.5882352941176
2008-09,NJN,25.5333333333333
2008-09,NOH,29.1333333333333
2008-09,NYK,26.0869565217391
2008-09,OKC,25.65
2008-09,ORL,27.875
2008-09,PHI,27.3846153846154
2008-09,PHO,27.1111111111111
2008-09,POR,24.2
2008-09,SAC,26.8095238095238
2008-09,SAS,28.7
2008-09,TOR,26.3157894736842
2008-09,TOT,27.5671641791045
2008-09,UTA,25.6666666666667
2008-09,WAS,26.8235294117647
2009-10,ATL,26.5714285714286
2009-10,BOS,28.0
2009-10,CHA,27.2631578947368
2009-10,CHI,26.9444444444444
2009-10,CLE,27.0555555555556
2009-10,DAL,29.3333333333333
2009-10,DEN,27.6153846153846
2009-10,DET,26.8571428571429
2009-10,GSW,26.35
2009-10,HOU,25.952380952381
2009-10,IND,26.4666666666667
2009-10,LAC,27.0526315789474
2009-10,LAL,27.6153846153846
2009-10,MEM,25.0
2009-10,MIA,27.3333333333333
2009-10,MIL,27.7368421052632
2009-10,MIN,25.0625
2009-10,NJN,26.5294117647059
2009-10,NOH,27.8125
2009-10,NYK,25.8
2009-10,OKC,25.1666666666667
2009-10,ORL,27.8333333333333
2009-10,PHI,26.25
2009-10,PHO,26.8666666666667
2009-10,POR,25.7894736842105
2009-10,SAC,25.35
2009-10,SAS,28.1176470588235
2009-10,TOR,25.6666666666667
2009-10,TOT,27.3030303030303
2009-10,UTA,24.6666666666667
2009-10,WAS,27.2083333333333
2010-11,ATL,27.4705882352941
2010-11,BOS,27.9047619047619
2010-11,CHA,26.8421052631579
2010-11,CHI,27.4666666666667
2010-11,CLE,26.2105263157895
2010-11,DAL,28.4444444444444
2010-11,DEN,27.2105263157895
2010-11,DET,27.2307692307692
2010-11,GSW,25.8235294117647
2010-11,HOU,25.85
2010-11,IND,26.1333333333333
2010-11,LAC,26.2352941176471
2010-11,LAL,29.0625
2010-11,MEM,25.4736842105263
2010-11,MIA,30.2941176470588
2010-11,MIL,27.2941176470588
2010-11,MIN,23.7647058823529
2010-11,NJN,25.8181818181818
2010-11,NOH,26.5789473684211
2010-11,NYK,25.95
2010-11,OKC,25.1666666666667
2010-11,ORL,28.4117647058824
2010-11,PHI,26.5333333333333
2010-11,PHO,27.6842105263158
2010-11,POR,27.4444444444444
2010-11,SAC,24.75
2010-11,SAS,27.45
2010-11,TOR,25.6818181818182
2010-11,TOT,26.855421686747
2010-11,UTA,26.2941176470588
2010-11,WAS,25.9130434782609
2011-12,ATL,29.3125
2011-12,BOS,28.2352941176471
2011-12,CHA,26.1875
2011-12,CHI,28.0
2011-12,CLE,25.1904761904762
2011-12,DAL,29.4375
2011-12,DEN,25.7647058823529
2011-12,DET,27.0714285714286
2011-12,GSW,25.7
2011-12,HOU,25.7894736842105
2011-12,IND,26.6
2011-12,LAC,27.2222222222222
2011-12,LAL,27.7647058823529
2011-12,MEM,26.5294117647059
2011-12,MIA,28.4375
2011-12,MIL,25.7647058823529
2011-12,MIN,24.8666666666667
2011-12,NJN,26.0909090909091
2011-12,NOH,25.4545454545455
2011-12,NYK,26.8823529411765
2011-12,OKC,26.125
2011-12,ORL,26.625
2011-12,PHI,26.125
2011-12,PHO,28.5384615384615
2011-12,POR,26.7222222222222
2011-12,SAC,24.4
2011-12,SAS,26.952380952381
2011-12,TOR,26.7777777777778
2011-12,TOT,26.6111111111111
2011-12,UTA,26.1333333333333
2011-12,WAS,26.047619047619
2012-13,ATL,26.8888888888889
2012-13,BOS,27.45
2012-13,BRK,27.5294117647059
2012-13,CHA,26.2222222222222
2012-13,CHI,28.0
2012-13,CLE,24.9473684210526
2012-13,DAL,28.6086956521739
2012-13,DEN,24.7333333333333
2012-13,DET,25.875
2012-13,GSW,25.125
2012-13,HOU,24.3
2012-13,IND,25.8125
2012-13,LAC,29.1333333333333
2012-13,LAL,28.25
2012-13,MEM,25.5
2012-13,MIA,29.7777777777778
2012-13,MIL,26.7222222222222
2012-13,MIN,26.7368421052632
2012-13,NOH,24.7368421052632
2012-13,NYK,31.3157894736842
2012-13,OKC,25.75
2012-13,ORL,25.2777777777778
2012-13,PHI,25.5294117647059
2012-13,PHO,26.25
2012-13,POR,25.0
2012-13,SAC,25.4117647058824
2012-13,SAS,27.5625
2012-13,TOR,26.0
2012-13,TOT,26.12
2012-13,UTA,26.0
2012-13,WAS,26.2105263157895
2013-14,ATL,26.1111111111111
2013-14,BOS,25.6842105263158
2013-14,BRK,28.8421052631579
2013-14,CHA,26.1578947368421
2013-14,CHI,27.75
2013-14,CLE,24.5238095238095
2013-14,DAL,28.2
2013-14,DEN,26.0
2013-14,DET,25.6
2013-14,GSW,26.3333333333333
2013-14,HOU,25.3888888888889
2013-14,IND,27.1764705882353
2013-14,LAC,28.55
2013-14,LAL,27.2631578947368
2013-14,MEM,26.8888888888889
2013-14,MIA,30.0
2013-14,MIL,25.5789473684211
2013-14,MIN,26.0
2013-14,NOP,25.5714285714286
2013-14,NYK,28.2222222222222
2013-14,OKC,27.2222222222222
2013-14,ORL,24.875
2013-14,PHI,23.3913043478261
2013-14,PHO,25.8666666666667
2013-14,POR,25.4
2013-14,SAC,25.9130434782609
2013-14,SAS,27.8947368421053
2013-14,TOR,26.15
2013-14,TOT,26.4126984126984
2013-14,UTA,25.8235294117647
2013-14,WAS,26.6470588235294
2014-15,ATL,27.0
2014-15,BOS,26.1818181818182
2014-15,BRK,27.5263157894737
2014-15,CHI,28.2857142857143
2014-15,CHO,26.1176470588235
2014-15,CLE,27.95
2014-15,DAL,28.5789473684211
2014-15,DEN,25.85
2014-15,DET,27.0
2014-15,GSW,26.7333333333333
2014-15,HOU,26.65
2014-15,IND,27.8125
2014-15,LAC,28.05
